"Date and Time Run #1","Time (s) Run #1","Current (A) Run #1","Voltage (V) Run #1","Electron Current (x10^-10 A) Run #1","Date and Time Run #2","Time (s) Run #2","Current (A) Run #2","Voltage (V) Run #2","Electron Current (x10^-10 A) Run #2","Date and Time Run #3","Time (s) Run #3","Current (A) Run #3","Voltage (V) Run #3","Electron Current (x10^-10 A) Run #3","Date and Time Run #4","Time (s) Run #4","Current (A) Run #4","Voltage (V) Run #4","Electron Current (x10^-10 A) Run #4","Date and Time Run #5","Time (s) Run #5","Current (A) Run #5","Voltage (V) Run #5","Electron Current (x10^-10 A) Run #5"
01/27/2022 03:33:25 pm,11.600,-1.944E-13,0.2,0.00,01/27/2022 04:29:47 pm,199.100,-2.311E-12,37.2,0.02,01/27/2022 05:14:56 pm,68.200,-2.851E-13,0.1,0.00,01/27/2022 05:21:47 pm,22.200,-9.938E-13,23.2,0.01,01/27/2022 05:52:03 pm,53.000,-2.763E-13,0.1,0.00
01/27/2022 03:33:49 pm,35.100,-1.916E-13,2.3,0.00,01/27/2022 04:31:16 pm,288.100,-2.030E-12,37.6,0.02,01/27/2022 05:15:13 pm,85.700,-2.838E-13,2.3,0.00,01/27/2022 05:22:19 pm,54.800,-9.731E-13,24.2,0.01,01/27/2022 05:52:23 pm,73.100,-2.653E-13,2.3,0.00
01/27/2022 03:34:02 pm,48.200,-1.604E-13,4.3,0.00,01/27/2022 04:32:07 pm,339.200,-1.978E-12,38.2,0.02,01/27/2022 05:15:45 pm,117.600,-2.917E-13,4.3,0.00,01/27/2022 05:23:01 pm,96.300,-9.268E-13,25.2,0.01,01/27/2022 05:52:46 pm,96.500,-2.731E-13,4.2,0.00
01/27/2022 03:34:14 pm,60.200,-1.630E-13,6.3,0.00,01/27/2022 04:32:31 pm,363.900,-2.106E-12,38.7,0.02,01/27/2022 05:15:59 pm,131.400,-2.869E-13,6.2,0.00,01/27/2022 05:24:11 pm,166.500,-8.625E-13,26.2,0.01,01/27/2022 05:53:06 pm,116.600,-2.682E-13,6.2,0.00
01/27/2022 03:34:26 pm,72.500,-1.655E-13,8.2,0.00,01/27/2022 04:34:19 pm,471.700,-2.227E-12,39.2,0.02,01/27/2022 05:16:23 pm,155.300,-2.847E-13,8.3,0.00,01/27/2022 05:24:40 pm,195.600,-8.824E-13,26.7,0.01,01/27/2022 05:53:18 pm,128.800,-2.689E-13,8.3,0.00
01/27/2022 03:34:41 pm,87.400,-1.669E-13,10.2,0.00,01/27/2022 04:35:25 pm,537.800,-3.000E-12,40.2,0.03,01/27/2022 05:16:33 pm,165.300,-2.911E-13,10.2,0.00,01/27/2022 05:25:16 pm,231.600,-8.975E-13,27.2,0.01,01/27/2022 05:53:41 pm,151.600,-2.722E-13,10.2,0.00
01/27/2022 03:34:51 pm,97.200,-2.193E-13,12.2,0.00,01/27/2022 04:36:28 pm,600.200,-4.541E-12,42.2,0.05,01/27/2022 05:16:47 pm,179.600,-2.901E-13,12.2,0.00,01/27/2022 05:26:01 pm,276.400,-1.013E-12,28.2,0.01,01/27/2022 05:54:02 pm,172.800,-9.584E-13,12.2,0.01
01/27/2022 03:35:07 pm,113.500,-4.661E-13,14.2,0.00,01/27/2022 04:37:58 pm,690.500,-4.863E-12,43.2,0.05,01/27/2022 05:17:05 pm,197.900,-3.410E-13,14.2,0.00,01/27/2022 05:26:34 pm,309.000,-1.486E-12,30.2,0.01,01/27/2022 05:54:20 pm,190.000,-3.407E-12,14.2,0.03
01/27/2022 03:35:22 pm,128.300,-8.953E-13,16.2,0.01,01/27/2022 04:38:43 pm,735.300,-4.937E-12,43.7,0.05,01/27/2022 05:17:32 pm,224.400,-4.820E-13,16.2,0.00,01/27/2022 05:27:27 pm,362.900,-1.733E-12,31.2,0.02,01/27/2022 05:54:35 pm,205.100,-7.112E-12,16.2,0.07
01/27/2022 03:35:40 pm,146.700,-1.310E-12,18.2,0.01,01/27/2022 04:39:44 pm,796.200,-4.902E-12,44.1,0.05,01/27/2022 05:18:11 pm,263.800,-7.061E-13,18.2,0.01,01/27/2022 05:28:08 pm,403.300,-1.829E-12,31.7,0.02,01/27/2022 05:54:48 pm,218.900,-1.037E-11,18.2,0.10
01/27/2022 03:35:53 pm,159.200,-1.611E-12,20.2,0.02,01/27/2022 04:40:16 pm,828.700,-4.694E-12,45.2,0.05,01/27/2022 05:18:56 pm,308.000,-8.889E-13,20.2,0.01,01/27/2022 05:28:51 pm,446.000,-1.914E-12,32.2,0.02,01/27/2022 05:55:03 pm,233.500,-1.260E-11,20.2,0.13
01/27/2022 03:36:08 pm,174.500,-1.670E-12,22.2,0.02,01/27/2022 04:40:36 pm,848.100,-4.157E-12,46.2,0.04,01/27/2022 05:19:51 pm,363.500,-1.001E-12,22.2,0.01,01/27/2022 05:29:12 pm,467.500,-1.958E-12,32.7,0.02,01/27/2022 05:55:16 pm,246.600,-1.291E-11,21.2,0.13
01/27/2022 03:36:19 pm,185.800,-1.517E-12,24.2,0.02,01/27/2022 04:41:59 pm,931.200,-2.692E-12,48.2,0.03,01/27/2022 05:20:36 pm,408.900,-9.988E-13,22.7,0.01,01/27/2022 05:29:31 pm,486.400,-1.996E-12,33.2,0.02,01/27/2022 05:55:23 pm,253.900,-1.297E-11,21.7,0.13
01/27/2022 03:36:30 pm,196.300,-1.377E-12,26.2,0.01,01/27/2022 04:42:47 pm,979.100,-2.313E-12,48.7,0.02,,,,,,01/27/2022 05:29:44 pm,499.900,-1.988E-12,33.7,0.02,01/27/2022 05:55:31 pm,261.000,-1.298E-11,22.2,0.13
01/27/2022 03:36:44 pm,210.100,-1.752E-12,28.2,0.02,01/27/2022 04:43:42 pm,1034.000,-2.127E-12,49.2,0.02,,,,,,01/27/2022 05:30:02 pm,517.900,-1.975E-12,34.1,0.02,01/27/2022 05:55:44 pm,274.500,-1.282E-11,22.7,0.13
01/27/2022 03:36:55 pm,221.400,-2.442E-12,30.2,0.02,01/27/2022 04:44:13 pm,1065.200,-2.184E-12,49.7,0.02,,,,,,01/27/2022 05:30:42 pm,557.900,-1.856E-12,35.2,0.02,01/27/2022 05:55:51 pm,281.700,-1.267E-11,23.2,0.13
01/27/2022 03:37:04 pm,230.800,-2.884E-12,32.2,0.03,01/27/2022 04:45:07 pm,1119.700,-2.471E-12,50.1,0.02,,,,,,01/27/2022 05:31:01 pm,576.400,-1.606E-12,36.2,0.02,01/27/2022 05:55:59 pm,289.800,-1.222E-11,24.3,0.12
01/27/2022 03:37:17 pm,243.900,-2.631E-12,34.2,0.03,01/27/2022 04:45:33 pm,1145.900,-5.242E-12,52.1,0.05,,,,,,01/27/2022 05:31:55 pm,630.900,-1.383E-12,37.1,0.01,01/27/2022 05:56:15 pm,305.300,-1.189E-11,26.2,0.12
01/27/2022 03:37:35 pm,261.100,-1.948E-12,36.2,0.02,01/27/2022 04:48:04 pm,1296.100,-7.117E-12,54.2,0.07,,,,,,01/27/2022 05:32:10 pm,645.000,-1.159E-12,38.2,0.01,01/27/2022 05:56:27 pm,317.100,-1.666E-11,28.2,0.17
01/27/2022 03:37:48 pm,274.800,-1.546E-12,38.2,0.02,01/27/2022 04:49:11 pm,1363.900,-7.290E-12,54.7,0.07,,,,,,01/27/2022 05:32:45 pm,680.200,-1.163E-12,38.7,0.01,01/27/2022 05:56:38 pm,328.000,-2.614E-11,30.2,0.26
01/27/2022 03:37:59 pm,285.200,-2.590E-12,40.2,0.03,01/27/2022 04:50:11 pm,1423.300,-7.344E-12,55.2,0.07,,,,,,01/27/2022 05:33:19 pm,714.400,-1.236E-12,39.2,0.01,01/27/2022 05:56:47 pm,337.000,-3.358E-11,32.2,0.34
01/27/2022 03:38:07 pm,293.900,-4.086E-12,42.1,0.04,01/27/2022 04:51:41 pm,1513.800,-7.228E-12,55.6,0.07,,,,,,01/27/2022 05:34:18 pm,773.700,-1.707E-12,40.2,0.02,01/27/2022 05:57:08 pm,358.200,-3.490E-11,33.2,0.35
01/27/2022 03:38:16 pm,302.500,-4.648E-12,44.2,0.05,01/27/2022 04:52:40 pm,1572.500,-7.105E-12,56.1,0.07,,,,,,01/27/2022 05:35:11 pm,826.100,-3.130E-12,42.2,0.03,01/27/2022 05:57:19 pm,369.900,-3.424E-11,33.7,0.34
01/27/2022 03:38:28 pm,314.200,-3.843E-12,46.1,0.04,01/27/2022 04:53:39 pm,1631.500,-5.647E-12,58.1,0.06,,,,,,01/27/2022 05:35:51 pm,866.400,-3.665E-12,43.1,0.04,01/27/2022 05:57:27 pm,377.200,-3.317E-11,34.2,0.33
01/27/2022 03:38:35 pm,321.700,-2.343E-12,48.1,0.02,01/27/2022 04:54:05 pm,1657.900,-4.303E-12,59.1,0.04,,,,,,01/27/2022 05:36:27 pm,902.600,-4.022E-12,44.1,0.04,01/27/2022 05:57:38 pm,388.000,-2.605E-11,36.2,0.26
01/27/2022 03:38:47 pm,333.500,-2.039E-12,50.2,0.02,01/27/2022 04:54:43 pm,1695.700,-3.162E-12,60.1,0.03,,,,,,01/27/2022 05:37:58 pm,993.500,-4.054E-12,44.7,0.04,01/27/2022 05:57:48 pm,398.900,-2.086E-11,38.2,0.21
01/27/2022 03:40:14 pm,420.400,-6.802E-12,52.1,0.07,01/27/2022 04:55:11 pm,1723.000,-2.567E-12,61.1,0.03,,,,,,01/27/2022 05:38:31 pm,1026.800,-4.019E-12,45.1,0.04,01/27/2022 05:58:19 pm,429.000,-2.263E-11,38.7,0.23
