"Time (s) Run #1","Current (A) Run #1","Voltage (V) Run #1","Electron Current (x10^-10 A) Run #1","Time (s) Run #2","Current (A) Run #2","Voltage (V) Run #2","Electron Current (x10^-10 A) Run #2","Time (s) Run #3","Current (A) Run #3","Voltage (V) Run #3","Electron Current (x10^-10 A) Run #3","Time (s) Run #4","Current (A) Run #4","Voltage (V) Run #4","Electron Current (x10^-10 A) Run #4","Time (s) Run #5","Current (A) Run #5","Voltage (V) Run #5","Electron Current (x10^-10 A) Run #5"
11.600,-1.944E-13,0.2,0.00,199.100,-2.311E-12,37.2,0.02,68.200,-2.851E-13,0.1,0.00,22.200,-9.938E-13,23.2,0.01,53.000,-2.763E-13,0.1,0.00
35.100,-1.916E-13,2.3,0.00,288.100,-2.030E-12,37.6,0.02,85.700,-2.838E-13,2.3,0.00,54.800,-9.731E-13,24.2,0.01,73.100,-2.653E-13,2.3,0.00
48.200,-1.604E-13,4.3,0.00,339.200,-1.978E-12,38.2,0.02,117.600,-2.917E-13,4.3,0.00,96.300,-9.268E-13,25.2,0.01,96.500,-2.731E-13,4.2,0.00
60.200,-1.630E-13,6.3,0.00,363.900,-2.106E-12,38.7,0.02,131.400,-2.869E-13,6.2,0.00,166.500,-8.625E-13,26.2,0.01,116.600,-2.682E-13,6.2,0.00
72.500,-1.655E-13,8.2,0.00,471.700,-2.227E-12,39.2,0.02,155.300,-2.847E-13,8.3,0.00,195.600,-8.824E-13,26.7,0.01,128.800,-2.689E-13,8.3,0.00
87.400,-1.669E-13,10.2,0.00,537.800,-3.000E-12,40.2,0.03,165.300,-2.911E-13,10.2,0.00,231.600,-8.975E-13,27.2,0.01,151.600,-2.722E-13,10.2,0.00
97.200,-2.193E-13,12.2,0.00,600.200,-4.541E-12,42.2,0.05,179.600,-2.901E-13,12.2,0.00,276.400,-1.013E-12,28.2,0.01,172.800,-9.584E-13,12.2,0.01
113.500,-4.661E-13,14.2,0.00,690.500,-4.863E-12,43.2,0.05,197.900,-3.410E-13,14.2,0.00,309.000,-1.486E-12,30.2,0.01,190.000,-3.407E-12,14.2,0.03
128.300,-8.953E-13,16.2,0.01,735.300,-4.937E-12,43.7,0.05,224.400,-4.820E-13,16.2,0.00,362.900,-1.733E-12,31.2,0.02,205.100,-7.112E-12,16.2,0.07
146.700,-1.310E-12,18.2,0.01,796.200,-4.902E-12,44.1,0.05,263.800,-7.061E-13,18.2,0.01,403.300,-1.829E-12,31.7,0.02,218.900,-1.037E-11,18.2,0.10
